Brand,Condition,Fuel,KMs Driven,Model,Price,Registered City,Transaction Type,Year,Date,Normalized Date
Suzuki,Used,CNG,76000.0,Cultus VXR,370000,Karachi,Cash,2002.0,2019-12-20,43113600
Honda,Used,Petrol,132000.0,Civic VTi,750000,Karachi,Cash,2000.0,2019-12-19,43027200
Honda,Used,Petrol,200000.0,City IDSI,650000,Karachi,Cash,2005.0,2019-12-19,43027200
Nissan,Used,Petrol,44000.0,Dayz,1120000,Karachi,Cash,2015.0,2019-12-19,43027200
Suzuki,Used,Petrol,100000.0,Alto,450000,Karachi,Cash,2007.0,2019-12-17,42854400
Daihatsu,Used,CNG,100000.0,Charade,255000,Karachi,Cash,1987.0,2019-12-18,42940800
Daihatsu,Used,Petrol,67000.0,Mira,900000,Karachi,Cash,2012.0,2019-12-18,42940800
Suzuki,New,Petrol,71500.0,Cultus VXR,670000,Karachi,Cash,2010.0,2019-12-14,42595200
Toyota,New,Petrol,56000.0,Passo,1090000,Karachi,Cash,2010.0,2019-12-15,42681600
Nissan,New,CNG,1000.0,Sunny,165000,Karachi,Cash,1985.0,2019-12-13,42508800
Toyota,Used,Diesel,65000.0,Surf,2700000,Karachi,Cash,2003.0,2019-12-19,43027200
Honda,Used,Petrol,45000.0,City IVTEC,1375000,Karachi,Cash,2013.0,2019-12-15,42681600
Suzuki,Used,CNG,12.0,Alto,420000,Karachi,Cash,2008.0,2019-12-14,42595200
Suzuki,Used,Petrol,53000.0,Alto,890000,Karachi,Cash,2010.0,2019-12-13,42508800
Toyota,Used,Petrol,130000.0,Passo,800000,Karachi,Cash,2008.0,2019-12-19,43027200
Toyota,New,Petrol,70.0,Prado,2000000,Karachi,Cash,2015.0,2019-12-19,43027200
Toyota,Used,Petrol,150000.0,Land Cruiser,3700000,Karachi,Cash,1998.0,2019-12-18,42940800
Toyota,Used,Hybrid,129000.0,Aqua,1580000,Karachi,Cash,2012.0,2019-12-19,43027200
Suzuki,Used,CNG,185400.0,Khyber,180000,Karachi,Cash,1997.0,2019-12-16,42768000
Daihatsu,Used,Petrol,37500.0,Charade,140000,Karachi,Cash,1984.0,2019-12-20,43113600
Mitsubishi,Used,Petrol,105000.0,Minica,480000,Karachi,Cash,2012.0,2019-12-18,42940800
Toyota,Used,Petrol,116000.0,Corolla GLI,943000,Karachi,Cash,2004.0,2019-12-14,42595200
Mazda,Used,Petrol,43000.0,Carol,700000,Karachi,Cash,2006.0,2019-12-15,42681600
Daihatsu,New,Petrol,10.0,Hijet,200000,Karachi,Installment/Leasing,2017.0,2019-12-16,42768000
Mitsubishi,Used,Petrol,700.0,Mirage,320000,Karachi,Installment/Leasing,2018.0,2019-12-17,42854400
Suzuki,Used,CNG,1.0,Mehran VXR,300000,Karachi,Cash,2006.0,2019-12-17,42854400
Suzuki,New,CNG,72000.0,Mehran VXR,400000,Karachi,Cash,2012.0,2019-12-15,42681600
Suzuki,Used,Petrol,12345.0,Cultus VXR,490000,Karachi,Cash,2006.0,2019-12-14,42595200
KIA,Used,CNG,150000.0,Pride,175000,Karachi,Cash,1996.0,2019-12-14,42595200
Toyota,New,Petrol,19500.0,Corolla GLI,1890000,Karachi,Cash,2016.0,2019-12-17,42854400
Toyota,Used,Petrol,90000.0,Corolla XLI,1140000,Karachi,Cash,2009.0,2019-12-20,43113600
Suzuki,Used,CNG,1.0,Alto,420000,Karachi,Cash,2004.0,2019-12-16,42768000
Toyota,Used,Petrol,116000.0,Vitz,1080000,Karachi,Cash,2007.0,2019-12-18,42940800
Suzuki,Used,CNG,25000.0,Cultus VXR,550000,Karachi,Cash,2007.0,2019-12-15,42681600
Toyota,Used,CNG,96000.0,Corolla GLI,1080000,Karachi,Cash,2009.0,2019-12-15,42681600
Toyota,Used,Petrol,87000.0,Vitz,900000,Karachi,Cash,2008.0,2019-12-14,42595200
Daihatsu,Used,CNG,100000.0,Cuore,540000,Karachi,Cash,2008.0,2019-12-14,42595200
Toyota,Used,Petrol,150000.0,Corolla XLI,1100000,Karachi,Cash,2009.0,2019-12-17,42854400
Suzuki,New,CNG,90000.0,Cultus VXR,600000,Karachi,Cash,2007.0,2019-12-20,43113600
